productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extWeakness,extRetreatCost,extAttack2,extResistance
84368,Cleffa - HGSS12,Cleffa HGSS12,https://tcgplayer-cdn.tcgplayer.com/product/84368_200w.jpg,3,1453,https://cpt.tcgcsv.com/nMH,2022-08-13T18:24:49.253,1,HGSS12,Promo,Colorless,30,Basic,"<strong>Poké-BODY — Sweet Sleeping Face</strong>
<br>
As long as Cleffa is Asleep, prevent all damage done to Cleffa by attacks.","[0] Eeeeeeek 
<br>Shuffle your hand into your deck, then draw 6 cards. Cleffa is now Asleep.",11.0,15.17,22.74,17.49,,Holofoil,,,,
85273,Entei - HGSS20,Entei HGSS20,https://tcgplayer-cdn.tcgplayer.com/product/85273_200w.jpg,3,1453,https://cpt.tcgcsv.com/t7J,2026-02-27T22:51:32.23,1,HGSS20,Promo,Fire,80,Basic,,"[1RR] Fire Blitz (80) 
<br>Discard all Fire Energy attached to Entei.",29.99,52.5,80.3,49.11,,Holofoil,Wx2,1,,
85421,Feraligatr (Prime) - HGSS07,Feraligatr Prime HGSS07,https://tcgplayer-cdn.tcgplayer.com/product/85421_200w.jpg,3,1453,https://cpt.tcgcsv.com/rbJ,2022-08-13T18:34:45.997,1,HGSS07,Promo,Water,140,Stage 2,"<strong>Poké-POWER — Rain Dance</strong>
<br>
As often as you like during your turn <em>(before your attack)</em>, you may attach a Water Energy card from your hand to 1 of your Water Pokémon. This power can't be used if Feraligatr is affected by a Special Condition.","[WWWW] Hydro Crunch (60+)
<br>Does 60 damage plus 10 damage for each damage counter on the Defending Pokémon.",29.03,37.5,56.2,50.0,,Holofoil,Gx2,3,,
86097,Hitmonchan - HGSS24,Hitmonchan HGSS24,https://tcgplayer-cdn.tcgplayer.com/product/86097_200w.jpg,3,1453,https://cpt.tcgcsv.com/ZrJ,2022-08-13T18:38:18.313,1,HGSS24,Promo,Fighting,70,Basic,,"[1] Detect 
<br>Flip a coin. If heads, prevent all effects of an attack, including damage, done to Hitmonchan during your opponent's next turn.",10.0,16.66,26.99,9.81,,Holofoil,Px2,1,"[1F] Sky Uppercut (30) 
<br>This attack's damage isn't affected by Resistance.",
86109,Hitmonlee - HGSS25,Hitmonlee HGSS25,https://tcgplayer-cdn.tcgplayer.com/product/86109_200w.jpg,3,1453,https://cpt.tcgcsv.com/csJ,2022-08-13T18:39:52.837,1,HGSS25,Promo,Fighting,80,Basic,,[F] Kick (20),8.0,19.13,19.99,14.99,,Holofoil,Px2,2,[1FF] High Jump Kick (60),
86125,Ho-Oh - HGSS01,Ho Oh HGSS01,https://tcgplayer-cdn.tcgplayer.com/product/86125_200w.jpg,3,1453,https://cpt.tcgcsv.com/wsJ,2022-08-13T18:41:41.893,1,HGSS01,Promo,Fire,100,Basic,,[R] Combustion (20),24.83,49.98,51.1,49.98,,Holofoil,Wx2,3,"[2RR] Sacred Fire 
<br>Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 80 damage to that Pokémon. This attacks damage isn't affected by Weakness or Resistance.",F-20
86174,Hoothoot - HGSS05,Hoothoot HGSS05,https://tcgplayer-cdn.tcgplayer.com/product/86174_200w.jpg,3,1453,https://cpt.tcgcsv.com/vtJ,2025-12-03T12:48:35.167,1,HGSS05,Promo,Colorless,50,Basic,"<strong>Poké-BODY — Insomnia</strong>
<br>
Hoothoot can't be Asleep.",[1] Peck (10),2.55,4.88,9.99,4.89,5.37,Holofoil,Lx2,1,,F-20
86621,Lapras - HGSS14,Lapras HGSS14,https://tcgplayer-cdn.tcgplayer.com/product/86621_200w.jpg,3,1453,https://cpt.tcgcsv.com/rGJ,2022-08-13T18:46:04.15,1,HGSS14,Promo,Water,90,Basic,,"[W] Ferry 
<br>Search your discard pile for a Supporter card, show it to your opponent, and put it into your hand.",14.28,22.8,43.23,26.46,,Holofoil,Mx2,2,[1WW] Surf (40),
86653,Latias - HGSS10 (Cosmos Holo),Latias HGSS10 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/86653_200w.jpg,3,1453,https://cpt.tcgcsv.com/5HJ,2022-08-13T18:50:44.893,1,HGSS10,Promo,Colorless,80,Basic,,"[1] Energy Assist (10) 
<br>Search your discard pile for a basic Energy card and attach it to 1 of your Benched Pokémon.",18.0,24.48,34.15,32.1,,Holofoil,Cx2,1,"[3] Infinite Wind (40) 
<br>If Latios is on your Bench, remove 2 damage counters from each of your Benched Pokémon.",
86667,Latios - HGSS11 (Cosmos Holo),Latios HGSS11 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/86667_200w.jpg,3,1453,https://cpt.tcgcsv.com/mHJ,2022-08-13T18:56:59.587,1,HGSS11,Promo,Colorless,90,Basic,"<strong>Poké-BODY — Luster Float</strong>
<br>
If you have Latias in play, the Retreat Cost for Latios is 0.","[4] Infinite Wing (80) 
<br>Discard 2 Energy attached to Latios.",23.99,29.27,40.0,26.54,,Holofoil,Cx2,2,,
