productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRetreatCost,extCardText,extUPC
83767,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83767_200w.jpg,3,1434,https://cpt.tcgcsv.com/mwH,2026-03-09T15:11:51.49,1,18/75,Rare,Grass,80,Stage 2,"[G] Triple Poison (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned. Your opponent now puts 3 damage counters on it instead of 1 after each player's turn <em>(even if it was already Poisoned)</em>.","[1GG] Pin Missile (20x)
<br>Flip 4 coins. This attack does 20 times the number of heads.",R,F-30,15.0,20.0,28.0,17.99,,1st Edition,,,
83767,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83767_200w.jpg,3,1434,https://cpt.tcgcsv.com/mwH,2026-03-09T15:11:51.49,1,18/75,Rare,Grass,80,Stage 2,"[G] Triple Poison (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned. Your opponent now puts 3 damage counters on it instead of 1 after each player's turn <em>(even if it was already Poisoned)</em>.","[1GG] Pin Missile (20x)
<br>Flip 4 coins. This attack does 20 times the number of heads.",R,F-30,3.99,5.0,4321.0,8.53,,Unlimited,,,
84061,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/84061_200w.jpg,3,1434,https://cpt.tcgcsv.com/fFH,2022-11-25T20:50:55.063,1,19/75,Rare,Grass,80,Stage 2,"[1G] Magic Dust (20)
<br>Flip a coin. If heads, the Defending Pokémon is now either Asleep, Confused, Paralyzed, or Poisoned (your choice).","[1GG] Hyper Reverse
<br>Does 10 damage times the number of Energy attached to the Defending Pokémon. After doing damage, remove a number of damage counters from Butterfree equal to the amount of damage done to the Defending Pokémon <em>(after applying Weakness and Resistance)</em>.",R,F-30,10.99,17.24,23.49,14.1,,1st Edition,,,
84061,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/84061_200w.jpg,3,1434,https://cpt.tcgcsv.com/fFH,2022-11-25T20:50:55.063,1,19/75,Rare,Grass,80,Stage 2,"[1G] Magic Dust (20)
<br>Flip a coin. If heads, the Defending Pokémon is now either Asleep, Confused, Paralyzed, or Poisoned (your choice).","[1GG] Hyper Reverse
<br>Does 10 damage times the number of Energy attached to the Defending Pokémon. After doing damage, remove a number of damage counters from Butterfree equal to the amount of damage done to the Defending Pokémon <em>(after applying Weakness and Resistance)</em>.",R,F-30,1.33,2.5,23.03,3.03,,Unlimited,,,
84133,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/84133_200w.jpg,3,1434,https://cpt.tcgcsv.com/HGH,2025-02-05T21:10:32.86,1,53/75,Common,Grass,50,Basic,"[1] Spin Tackle (20)
<br>Caterpie does 10 damage to itself.",,R,,1.98,3.4,5.5,3.48,,1st Edition,1,,
84133,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/84133_200w.jpg,3,1434,https://cpt.tcgcsv.com/HGH,2025-02-05T21:10:32.86,1,53/75,Common,Grass,50,Basic,"[1] Spin Tackle (20)
<br>Caterpie does 10 damage to itself.",,R,,0.32,0.81,4.0,0.82,,Unlimited,1,,
84437,Corsola,Corsola,https://tcgplayer-cdn.tcgplayer.com/product/84437_200w.jpg,3,1434,https://cpt.tcgcsv.com/MNH,2023-06-26T09:59:34.023,1,37/75,Uncommon,Water,50,Basic,"[W] Recover
<br>Discard 1 Water Energy attached to Corsola or this attack does nothing. Remove all damage counters from Corsola.","[FF] Spike Cannon (30x)
<br>Flip 2 coins. This attack does 30 times the number of heads.",G,,19.94,21.98,25.0,7.62,,1st Edition,1,,
84437,Corsola,Corsola,https://tcgplayer-cdn.tcgplayer.com/product/84437_200w.jpg,3,1434,https://cpt.tcgcsv.com/MNH,2023-06-26T09:59:34.023,1,37/75,Uncommon,Water,50,Basic,"[W] Recover
<br>Discard 1 Water Energy attached to Corsola or this attack does nothing. Remove all damage counters from Corsola.","[FF] Spike Cannon (30x)
<br>Flip 2 coins. This attack does 30 times the number of heads.",G,,1.74,4.76,29.98,4.83,6.79,Unlimited,1,,
85007,Dunsparce,Dunsparce,https://tcgplayer-cdn.tcgplayer.com/product/85007_200w.jpg,3,1434,https://cpt.tcgcsv.com/90J,2025-02-05T21:10:32.927,1,54/75,Common,Colorless,30,Basic,"[1] Glare (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,F,P-30,1.02,1.71,3.75,1.72,,1st Edition,,,
85007,Dunsparce,Dunsparce,https://tcgplayer-cdn.tcgplayer.com/product/85007_200w.jpg,3,1434,https://cpt.tcgcsv.com/90J,2025-02-05T21:10:32.927,1,54/75,Common,Colorless,30,Basic,"[1] Glare (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,F,P-30,0.1,0.53,20.61,0.61,,Unlimited,,,
