productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extAttack3,extUPC
126048,Sun & Moon Booster Box,Sun and Moon Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/126048_200w.jpg,3,1863,https://cpt.tcgcsv.com/-q02,2017-02-06T21:59:35.1,1,915.02,974.98,2999.95,936.36,,Normal,,,,,,,,,,,,,
126052,Sun & Moon Base Set 3 Pack Blister [Togedemaru],Sun and Moon Base Set 3 Pack Blister Togedemaru,https://tcgplayer-cdn.tcgplayer.com/product/126052_200w.jpg,3,1863,https://cpt.tcgcsv.com/3r02,2018-10-10T15:17:46.657,1,150.0,153.5,156.99,,,Normal,"Each blister comes with 3 Sun & Moon Base Set booster packs, a coin, and a promotional card of Togedemaru.",,,,,,,,,,,,
126054,Sun & Moon Base Set 3 Pack Blister [Litten],Sun and Moon Base Set 3 Pack Blister Litten,https://tcgplayer-cdn.tcgplayer.com/product/126054_200w.jpg,3,1863,https://cpt.tcgcsv.com/6r02,2018-10-10T15:17:33.173,1,,,,,,,"Each blister comes with 3 Sun & Moon Base Set booster packs, a coin, and a promotional card of Litten.",,,,,,,,,,,,
126089,Sun & Moon Elite Trainer Box [Solgaleo],Sun and Moon Elite Trainer Box Solgaleo,https://tcgplayer-cdn.tcgplayer.com/product/126089_200w.jpg,3,1863,https://cpt.tcgcsv.com/Pr02,2017-02-09T12:47:13.9,1,210.0,239.97,1999.99,184.59,,Normal,,,,,,,,,,,,,
126091,Sun & Moon Elite Trainer Box [Lunala],Sun and Moon Elite Trainer Box Lunala,https://tcgplayer-cdn.tcgplayer.com/product/126091_200w.jpg,3,1863,https://cpt.tcgcsv.com/Rr02,2017-02-09T12:47:07.847,1,210.0,279.95,1999.99,195.6,,Normal,,,,,,,,,,,,,
126172,"Sun & Moon Base Set Theme Deck - ""Forest Shadow"" [Decidueye]",Sun and Moon Base Set Theme Deck Forest Shadow Decidueye,https://tcgplayer-cdn.tcgplayer.com/product/126172_200w.jpg,3,1863,https://cpt.tcgcsv.com/st02,2018-10-03T12:42:35.953,1,17.87,19.99,50.0,17.87,,Normal,"<em>Your Adventure in a New Region Starts Now!
<br>
Moving through the trees with ultimate stealth: Decidueye! This hard-striking deck paints a target on your foe—and hits a bull's-eye. Take aim with the Forest Shadow theme deck!</em>
<br>
<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",,,,,,,,,,,,
126173,"Sun & Moon Base Set Theme Deck - ""Roaring Heat"" [Incineroar]",Sun and Moon Base Set Theme Deck Roaring Heat Incineroar,https://tcgplayer-cdn.tcgplayer.com/product/126173_200w.jpg,3,1863,https://cpt.tcgcsv.com/tt02,2018-10-03T12:44:16.24,1,13.99,26.33,50.0,27.0,,Normal,"<em>Your Adventure in a New Region Starts Now!
<br>
Explode with the fiery power of Incineroar! Add fuel to the fire with a fast-burning, fast-punching team built of pure power and aggression. Throw it all into the fight with the Roaring Heat theme deck!</em>
<br>
<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",,,,,,,,,,,,
126174,"Sun & Moon Base Set Theme Deck - ""Bright Tide"" [Primarina]",Sun and Moon Base Set Theme Deck Bright Tide Primarina,https://tcgplayer-cdn.tcgplayer.com/product/126174_200w.jpg,3,1863,https://cpt.tcgcsv.com/vt02,2018-10-03T12:41:30.013,1,14.99,23.0,50.0,21.99,,Normal,"<em>Your Adventure in a New Region Starts Now!
<br>
Light up the waters and overwhelm your foe with Primarina! Combine water and lightning, and send your Pokémon team surging through howling storms with the Bright Tide theme deck!</em>
<br>
<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",,,,,,,,,,,,
126872,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/126872_200w.jpg,3,1863,https://cpt.tcgcsv.com/sM02,2022-11-15T20:17:38.37,1,0.02,0.15,1.49,0.14,,Normal,,1/149,Common,Grass,50,Basic,"[1] Nap
<br>Heal 20 damage from this Pokemon.",[2] Gnaw (20),Rx2,None,1,,
126872,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/126872_200w.jpg,3,1863,https://cpt.tcgcsv.com/sM02,2022-11-15T20:17:38.37,1,0.1,0.27,2.0,0.25,,Reverse Holofoil,,1/149,Common,Grass,50,Basic,"[1] Nap
<br>Heal 20 damage from this Pokemon.",[2] Gnaw (20),Rx2,None,1,,
126873,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/126873_200w.jpg,3,1863,https://cpt.tcgcsv.com/tM02,2022-11-15T20:18:54.75,1,0.03,0.25,1.49,0.27,0.25,Normal,,2/149,Uncommon,Grass,80,Stage 1,"[1] Iron Defense
<br>Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.",[3] Bug Bite (40),Rx2,None,3,,
126873,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/126873_200w.jpg,3,1863,https://cpt.tcgcsv.com/tM02,2022-11-15T20:18:54.75,1,0.12,0.5,1.99,0.51,,Reverse Holofoil,,2/149,Uncommon,Grass,80,Stage 1,"[1] Iron Defense
<br>Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.",[3] Bug Bite (40),Rx2,None,3,,
126874,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/126874_200w.jpg,3,1863,https://cpt.tcgcsv.com/vM02,2025-12-09T22:36:55.167,1,0.08,0.26,4.0,0.26,,Normal,,3/149,Rare,Grass,130,Stage 2,"[1] Psy Bolt (30)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","[3] Whirlwind (80)
<br>Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon.",Rx2,None,1,,
126874,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/126874_200w.jpg,3,1863,https://cpt.tcgcsv.com/vM02,2025-12-09T22:36:55.167,1,0.2,0.51,2.55,0.52,,Reverse Holofoil,,3/149,Rare,Grass,130,Stage 2,"[1] Psy Bolt (30)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","[3] Whirlwind (80)
<br>Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon.",Rx2,None,1,,
126875,Paras,Paras,https://tcgplayer-cdn.tcgplayer.com/product/126875_200w.jpg,3,1863,https://cpt.tcgcsv.com/wM02,2025-02-05T21:22:58.34,1,0.01,0.15,4.0,0.1,,Normal,,4/149,Common,Grass,60,Basic,[1G] Scratch (30),,Rx2,None,1,,
126875,Paras,Paras,https://tcgplayer-cdn.tcgplayer.com/product/126875_200w.jpg,3,1863,https://cpt.tcgcsv.com/wM02,2025-02-05T21:22:58.34,1,0.02,0.25,2.37,0.21,,Reverse Holofoil,,4/149,Common,Grass,60,Basic,[1G] Scratch (30),,Rx2,None,1,,
126876,Parasect,Parasect,https://tcgplayer-cdn.tcgplayer.com/product/126876_200w.jpg,3,1863,https://cpt.tcgcsv.com/xM02,2024-12-19T14:52:24.937,1,0.02,0.2,19.5,0.2,0.15,Normal,,5/149,Rare,Grass,110,Stage 1,"[2] Fury Cutter (10+)
<br>Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 60 more damage. If all of them are heads, this attack does 120 more damage.","[1GG] Mushroom Drain (70)
<br>Heal 30 damage from this Pokemon.",Rx2,None,3,,
126876,Parasect,Parasect,https://tcgplayer-cdn.tcgplayer.com/product/126876_200w.jpg,3,1863,https://cpt.tcgcsv.com/xM02,2024-12-19T14:52:24.937,1,0.08,0.31,2.99,0.31,0.24,Reverse Holofoil,,5/149,Rare,Grass,110,Stage 1,"[2] Fury Cutter (10+)
<br>Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 60 more damage. If all of them are heads, this attack does 120 more damage.","[1GG] Mushroom Drain (70)
<br>Heal 30 damage from this Pokemon.",Rx2,None,3,,
126877,Pinsir,Pinsir,https://tcgplayer-cdn.tcgplayer.com/product/126877_200w.jpg,3,1863,https://cpt.tcgcsv.com/zM02,2025-12-09T23:26:46.81,1,0.02,0.15,4.0,0.1,,Normal,,6/149,Uncommon,Grass,110,Basic,"[2] Heavens Throw
<br>Flip a coin. If heads, return your opponent's Active Pokemon and all cards attached to it to your opponent's hand.",[GG] Guillotine (50),Rx2,None,2,,
126877,Pinsir,Pinsir,https://tcgplayer-cdn.tcgplayer.com/product/126877_200w.jpg,3,1863,https://cpt.tcgcsv.com/zM02,2025-12-09T23:26:46.81,1,0.08,0.27,19.5,0.25,0.16,Reverse Holofoil,,6/149,Uncommon,Grass,110,Basic,"[2] Heavens Throw
<br>Flip a coin. If heads, return your opponent's Active Pokemon and all cards attached to it to your opponent's hand.",[GG] Guillotine (50),Rx2,None,2,,
