productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,extResistance
672393,Perfect Order 3 Pack Blister [Chikorita],Perfect Order 3 Pack Blister Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/672393_200w.jpg,3,24587,https://cpt.tcgcsv.com/TZn7,2026-01-13T20:44:24.08,1,"Secret Powers Awaken!<br>
<br>
The pulse of the city beats in sync with the Pokémon and people who call it home—and preserving the order of it all is Mega Zygarde ex, the Legendary Pokémon who embodies strength in numbers! With threatening forces held at bay, peaceful days are ahead for the city's residents, including Pokémon like Mega Clefable ex, Mega Starmie ex, and Meowth ex, in the Pokémon TCG: Mega Evolution—Perfect Order expansion! Each blister comes with 3 booster packs and a promotional card.",36.07,37.85,54.99,38.04,,Normal,,,,,,,,,,
672394,Perfect Order Booster Box,Perfect Order Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/672394_200w.jpg,3,24587,https://cpt.tcgcsv.com/VZn7,2026-03-04T19:16:54.837,1,"Secret Powers Awaken!<br>
<br>
The pulse of the city beats in sync with the Pokémon and people who call it home—and preserving the order of it all is Mega Zygarde ex, the Legendary Pokémon who embodies strength in numbers! With threatening forces held at bay, peaceful days are ahead for the city's residents, including Pokémon like Mega Clefable ex, Mega Starmie ex, and Meowth ex, in the Pokémon TCG: Mega Evolution—Perfect Order expansion! Each booster box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>",233.85,234.39,249.99,233.9,,Normal,,,,,,,,,,
672395,Perfect Order Booster Box Case,Perfect Order Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/672395_200w.jpg,3,24587,https://cpt.tcgcsv.com/WZn7,2026-02-10T20:26:36.343,1,"Secret Powers Awaken!<br>
<br>
The pulse of the city beats in sync with the Pokémon and people who call it home—and preserving the order of it all is Mega Zygarde ex, the Legendary Pokémon who embodies strength in numbers! With threatening forces held at bay, peaceful days are ahead for the city's residents, including Pokémon like Mega Clefable ex, Mega Starmie ex, and Meowth ex, in the Pokémon TCG: Mega Evolution—Perfect Order expansion! Each booster box case contains 6 boxes of 36 packs each.<br>
Each Booster Pack contains 10 random cards.",1367.47,1374.37,1448.0,1380.83,,Normal,,,,,,,,,,
672396,Perfect Order Booster Bundle,Perfect Order Booster Bundle,https://tcgplayer-cdn.tcgplayer.com/product/672396_200w.jpg,3,24587,https://cpt.tcgcsv.com/XZn7,2026-01-13T20:49:55.417,1,"Secret Powers Awaken!<br>
<br>
The pulse of the city beats in sync with the Pokémon and people who call it home—and preserving the order of it all is Mega Zygarde ex, the Legendary Pokémon who embodies strength in numbers! With threatening forces held at bay, peaceful days are ahead for the city's residents, including Pokémon like Mega Clefable ex, Mega Starmie ex, and Meowth ex, in the Pokémon TCG: Mega Evolution—Perfect Order expansion! Expand your collection with this Booster Bundle containing <strong>six booster packs!</strong>",55.0,58.93,71.38,58.04,,Normal,,,,,,,,,,
672397,Perfect Order Booster Bundle Case,Perfect Order Booster Bundle Case,https://tcgplayer-cdn.tcgplayer.com/product/672397_200w.jpg,3,24587,https://cpt.tcgcsv.com/ZZn7,2026-02-10T20:36:42.047,1,"Secret Powers Awaken!<br>
<br>
The pulse of the city beats in sync with the Pokémon and people who call it home—and preserving the order of it all is Mega Zygarde ex, the Legendary Pokémon who embodies strength in numbers! With threatening forces held at bay, peaceful days are ahead for the city's residents, including Pokémon like Mega Clefable ex, Mega Starmie ex, and Meowth ex, in the Pokémon TCG: Mega Evolution—Perfect Order expansion! Each sealed Booster Bundle Case contains 25 bundle boxes.<br>
Expand your collection with this Booster Bundle containing <strong>six booster packs</strong>",1099.99,1115.24,1749.41,1106.5,,Normal,,,,,,,,,,
672398,Perfect Order Booster Pack,Perfect Order Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/672398_200w.jpg,3,24587,https://cpt.tcgcsv.com/-Zn7,2026-01-13T20:50:30.69,1,"Secret Powers Awaken!<br>
<br>
The pulse of the city beats in sync with the Pokémon and people who call it home—and preserving the order of it all is Mega Zygarde ex, the Legendary Pokémon who embodies strength in numbers! With threatening forces held at bay, peaceful days are ahead for the city's residents, including Pokémon like Mega Clefable ex, Mega Starmie ex, and Meowth ex, in the Pokémon TCG: Mega Evolution—Perfect Order expansion! Packs contain 10 random cards.",10.3,10.31,10.33,10.3,,Normal,,,,,,,,,,
672399,Perfect Order Booster Pack Art Bundle [Set of 4],Perfect Order Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/672399_200w.jpg,3,24587,https://cpt.tcgcsv.com/_Zn7,2026-02-10T21:00:39.657,1,"Secret Powers Awaken!<br>
<br>
The pulse of the city beats in sync with the Pokémon and people who call it home—and preserving the order of it all is Mega Zygarde ex, the Legendary Pokémon who embodies strength in numbers! With threatening forces held at bay, peaceful days are ahead for the city's residents, including Pokémon like Mega Clefable ex, Mega Starmie ex, and Meowth ex, in the Pokémon TCG: Mega Evolution—Perfect Order expansion! Collect 4 bundled packs.<br>
Each Booster Pack contains 10 random cards.",39.97,39.98,39.98,39.98,,Normal,,,,,,,,,,
672400,Perfect Order Build & Battle Box,Perfect Order Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/672400_200w.jpg,3,24587,https://cpt.tcgcsv.com/0-n7,2026-01-13T20:50:48.747,1,"Secret Powers Awaken!<br>
<br>
The pulse of the city beats in sync with the Pokémon and people who call it home—and preserving the order of it all is Mega Zygarde ex, the Legendary Pokémon who embodies strength in numbers! With threatening forces held at bay, peaceful days are ahead for the city's residents, including Pokémon like Mega Clefable ex, Mega Starmie ex, and Meowth ex, in the Pokémon TCG: Mega Evolution—Perfect Order expansion! Contents:<br>
• A 40-card ready-to-play deck, including 1 of 4 unique foil promo cards<br>
• 4 Pokémon booster packs<br>
• A code card for Pokémon TCG Live",56.69,60.34,68.47,65.17,,Normal,,,,,,,,,,
672401,Perfect Order Elite Trainer Box,Perfect Order Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/672401_200w.jpg,3,24587,https://cpt.tcgcsv.com/2-n7,2026-01-13T20:52:07.75,1,"Secret Powers Awaken!<br>
<br>
The pulse of the city beats in sync with the Pokémon and people who call it home—and preserving the order of it all is Mega Zygarde ex, the Legendary Pokémon who embodies strength in numbers! With threatening forces held at bay, peaceful days are ahead for the city's residents, including Pokémon like Mega Clefable ex, Mega Starmie ex, and Meowth ex, in the Pokémon TCG: Mega Evolution—Perfect Order expansion! The Pokémon Elite Trainer Box includes:<br>
• 9 Pokémon booster packs<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player's guide to the expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A collector's box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live",79.6,95.63,160.0,92.82,,Normal,,,,,,,,,,
672402,Perfect Order Elite Trainer Box Case,Perfect Order Elite Trainer Box Case,https://tcgplayer-cdn.tcgplayer.com/product/672402_200w.jpg,3,24587,https://cpt.tcgcsv.com/3-n7,2026-02-10T20:39:30.41,1,"Secret Powers Awaken!<br>
<br>
The pulse of the city beats in sync with the Pokémon and people who call it home—and preserving the order of it all is Mega Zygarde ex, the Legendary Pokémon who embodies strength in numbers! With threatening forces held at bay, peaceful days are ahead for the city's residents, including Pokémon like Mega Clefable ex, Mega Starmie ex, and Meowth ex, in the Pokémon TCG: Mega Evolution—Perfect Order expansion! Each sealed Elite Trainer Box includes 10 elite trainer boxes. <br>
<br>
Individual Pokémon Elite Trainer Boxes include:<br>
• 9 Pokémon booster packs<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player's guide to the expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A collector's box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live",888.81,899.88,1245.0,894.99,,Normal,,,,,,,,,,
