productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
98317,XY Trainer Kit: Latias & Latios,XY Trainer Kit Latias and Latios,https://tcgplayer-cdn.tcgplayer.com/product/98317_200w.jpg,3,1536,https://cpt.tcgcsv.com/mlP,2021-07-02T21:34:01.427,1,,,,,,,,,,,,,,,,,
98318,Grass Energy (#1),Grass Energy 1,https://tcgplayer-cdn.tcgplayer.com/product/98318_200w.jpg,3,1536,https://cpt.tcgcsv.com/nlP,2022-12-16T16:46:24.043,0,1/30,Common,Basic Energy,0.2,0.25,0.25,0.15,,Normal,,,,,,,,
98319,Grass Energy (#2),Grass Energy 2,https://tcgplayer-cdn.tcgplayer.com/product/98319_200w.jpg,3,1536,https://cpt.tcgcsv.com/plP,2022-12-16T16:48:02.27,0,2/30,Common,Basic Energy,0.04,0.2,0.44,0.15,,Normal,,,,,,,,
98320,Grass Energy (#3),Grass Energy 3,https://tcgplayer-cdn.tcgplayer.com/product/98320_200w.jpg,3,1536,https://cpt.tcgcsv.com/qlP,2022-12-16T16:48:34.62,0,3/30,Common,Basic Energy,0.2,0.23,1.72,0.15,,Normal,,,,,,,,
98321,Grass Energy (#5),Grass Energy 5,https://tcgplayer-cdn.tcgplayer.com/product/98321_200w.jpg,3,1536,https://cpt.tcgcsv.com/rlP,2022-12-16T16:49:29.417,0,5/30,Common,Basic Energy,0.12,0.2,0.25,0.15,,Normal,,,,,,,,
98322,Grass Energy (#19),Grass Energy 19,https://tcgplayer-cdn.tcgplayer.com/product/98322_200w.jpg,3,1536,https://cpt.tcgcsv.com/slP,2022-12-16T16:55:53.26,0,19/30,Common,Basic Energy,0.1,0.28,0.4,0.15,,Normal,,,,,,,,
98323,Psychic Energy (#8 - Latias),Psychic Energy 8 Latias,https://tcgplayer-cdn.tcgplayer.com/product/98323_200w.jpg,3,1536,https://cpt.tcgcsv.com/tlP,2022-12-16T16:50:33.067,0,8/30,Common,Basic Energy,0.15,0.38,2.06,0.15,,Normal,,,,,,,,
98324,Psychic Energy (#9 - Latias),Psychic Energy 9 Latias,https://tcgplayer-cdn.tcgplayer.com/product/98324_200w.jpg,3,1536,https://cpt.tcgcsv.com/vlP,2022-12-16T16:50:57.957,0,9/30,Common,Basic Energy,0.1,0.25,0.4,0.1,,Normal,,,,,,,,
98325,Psychic Energy (#10 - Latias),Psychic Energy 10 Latias,https://tcgplayer-cdn.tcgplayer.com/product/98325_200w.jpg,3,1536,https://cpt.tcgcsv.com/wlP,2022-12-16T16:51:15.183,0,10/30,Common,Basic Energy,0.1,0.25,0.4,0.1,,Normal,,,,,,,,
98326,Psychic Energy (#17 - Latias),Psychic Energy 17 Latias,https://tcgplayer-cdn.tcgplayer.com/product/98326_200w.jpg,3,1536,https://cpt.tcgcsv.com/xlP,2022-12-16T16:55:13.367,0,17/30,Common,Basic Energy,0.12,0.25,1.64,0.17,,Normal,,,,,,,,
