productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRetreatCost,extAttack2,extResistance,extUPC
91134,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/91134_200w.jpg,3,1464,https://cpt.tcgcsv.com/JsL,2026-02-17T18:55:17.37,1,1/106,Common,Grass,40,Basic,"<b>Ability -- Adaptive Evolution</b> 
<br>This Pokemon can evolve during your first turn or the turn you play it.",<b>Bug Bite</b> -- 10,Rx2,0.02,0.25,2.08,0.23,0.22,Normal,,,,
91134,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/91134_200w.jpg,3,1464,https://cpt.tcgcsv.com/JsL,2026-02-17T18:55:17.37,1,1/106,Common,Grass,40,Basic,"<b>Ability -- Adaptive Evolution</b> 
<br>This Pokemon can evolve during your first turn or the turn you play it.",<b>Bug Bite</b> -- 10,Rx2,0.23,0.68,2.75,0.74,0.62,Reverse Holofoil,,,,
91135,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/91135_200w.jpg,3,1464,https://cpt.tcgcsv.com/KsL,2022-12-20T19:41:09.423,1,2/106,Uncommon,Grass,70,Stage 1,Adaptive Evolution - This Pokemon can evolve during your first turn or the turn you play it.,"Harden - During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.",Rx2,0.05,0.23,4.0,0.23,,Normal,2,,,
91135,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/91135_200w.jpg,3,1464,https://cpt.tcgcsv.com/KsL,2022-12-20T19:41:09.423,1,2/106,Uncommon,Grass,70,Stage 1,Adaptive Evolution - This Pokemon can evolve during your first turn or the turn you play it.,"Harden - During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.",Rx2,0.44,0.8,4.0,1.29,,Reverse Holofoil,2,,,
91136,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/91136_200w.jpg,3,1464,https://cpt.tcgcsv.com/LsL,2022-12-20T19:41:19.337,1,3/106,Rare,Grass,130,Stage 2,,"Quiver Dance - Search your deck for a basic Energy card and attach it to this Pokémon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage from this Pokémon.",Lx2,0.37,0.64,4.09,0.64,,Normal,1,Gust - 70,F-20,
91136,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/91136_200w.jpg,3,1464,https://cpt.tcgcsv.com/LsL,2022-12-20T19:41:19.337,1,3/106,Rare,Grass,130,Stage 2,,"Quiver Dance - Search your deck for a basic Energy card and attach it to this Pokémon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage from this Pokémon.",Lx2,0.6,1.0,3.0,1.23,,Reverse Holofoil,1,Gust - 70,F-20,
91137,Pineco,Pineco,https://tcgplayer-cdn.tcgplayer.com/product/91137_200w.jpg,3,1464,https://cpt.tcgcsv.com/MsL,2022-12-20T19:41:27.813,1,4/106,Common,Grass,60,Basic,,Ram - 20,Rx2,0.04,0.2,4.0,0.17,,Normal,2,,,
91137,Pineco,Pineco,https://tcgplayer-cdn.tcgplayer.com/product/91137_200w.jpg,3,1464,https://cpt.tcgcsv.com/MsL,2022-12-20T19:41:27.813,1,4/106,Common,Grass,60,Basic,,Ram - 20,Rx2,0.08,0.48,2.0,0.47,,Reverse Holofoil,2,,,
91138,Seedot,Seedot,https://tcgplayer-cdn.tcgplayer.com/product/91138_200w.jpg,3,1464,https://cpt.tcgcsv.com/NsL,2025-02-05T21:16:36.477,1,5/106,Common,Grass,50,Basic,,Call for Family - Search your deck for a Basic Pokémon and put it onto your Bench. Shuffle your deck afterward.,Rx2,0.05,0.2,4.0,0.16,,Normal,1,,,
91138,Seedot,Seedot,https://tcgplayer-cdn.tcgplayer.com/product/91138_200w.jpg,3,1464,https://cpt.tcgcsv.com/NsL,2025-02-05T21:16:36.477,1,5/106,Common,Grass,50,Basic,,Call for Family - Search your deck for a Basic Pokémon and put it onto your Bench. Shuffle your deck afterward.,Rx2,0.1,0.44,3.99,0.45,,Reverse Holofoil,1,,,
