productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extAttack3,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extUPC
83517,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83517_200w.jpg,3,1406,https://cpt.tcgcsv.com/mqH,2023-11-07T21:34:14.32,1,18/127,Rare,Colorless,90,Stage 1,"[1] Midnight Eyes (20)
<br>
The Defending Pokémon is now Asleep.","[2] Perish Song
<br>
If the Defending Pokémon is Asleep and was damaged or affected by Midnight Eyes during your last turn, the Defending Pokémon is Knocked Out.","[2] Healing Song (40)
<br>
Remove 1 damage counter from each of your Pokémon.",L+20,F-20,1,0.99,1.3,10.0,1.76,,Normal,,
83517,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83517_200w.jpg,3,1406,https://cpt.tcgcsv.com/mqH,2023-11-07T21:34:14.32,1,18/127,Rare,Colorless,90,Stage 1,"[1] Midnight Eyes (20)
<br>
The Defending Pokémon is now Asleep.","[2] Perish Song
<br>
If the Defending Pokémon is Asleep and was damaged or affected by Midnight Eyes during your last turn, the Defending Pokémon is Knocked Out.","[2] Healing Song (40)
<br>
Remove 1 damage counter from each of your Pokémon.",L+20,F-20,1,3.0,5.14,5.48,4.79,,Reverse Holofoil,,
83543,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83543_200w.jpg,3,1406,https://cpt.tcgcsv.com/TqH,2023-11-07T21:30:35.41,1,1/127,Holo Rare,Lightning,130,Stage 2,"[1L] Gigavolt (30+)
<br>
Flip a coin. If heads, this attack does 30 damage plus 30 more damage. If tails, the Defending Pokémon is now Paralyzed","[2L] Reflect Energy (70)
<br>
Move an Energy Card attached to Ampharos to 1 of your Benched Pokémon.",,F+30,M-20,1,23.99,29.46,38.99,28.89,,Holofoil,"<strong>Poké-BODY — Damage Bind</strong>
<br>
Each Pokémon that has any damage counters on it <em>(both yours and your opponent's)</em> can't use any Poké-Powers.",
83543,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83543_200w.jpg,3,1406,https://cpt.tcgcsv.com/TqH,2023-11-07T21:30:35.41,1,1/127,Holo Rare,Lightning,130,Stage 2,"[1L] Gigavolt (30+)
<br>
Flip a coin. If heads, this attack does 30 damage plus 30 more damage. If tails, the Defending Pokémon is now Paralyzed","[2L] Reflect Energy (70)
<br>
Move an Energy Card attached to Ampharos to 1 of your Benched Pokémon.",,F+30,M-20,1,15.81,22.0,30.24,18.5,,Reverse Holofoil,"<strong>Poké-BODY — Damage Bind</strong>
<br>
Each Pokémon that has any damage counters on it <em>(both yours and your opponent's)</em> can't use any Poké-Powers.",
83626,Armor Fossil,Armor Fossil,https://tcgplayer-cdn.tcgplayer.com/product/83626_200w.jpg,3,1406,https://cpt.tcgcsv.com/xsH,2025-02-05T21:06:04.3,1,119/127,Common,Trainer,50,,,,,,,,0.03,0.25,2.23,0.19,,Normal,"Play Armor Fossil as if it were a Colorless Basic Pokémon. (Armor Fossil counts as a Trainer card as well, but if Armor Fossil is Knocked Out, this counts as a Knocked Out Pokémon.) Armor Fossil can't be affected by any Special Conditions and can't retreat. At any time during your turn before your attack, you may discard Armor Fossil from play. (This doesn't count as a Knocked Out Pokémon.)
<br>
<strong>Poké-BODY — Armor Stone</strong>
<br>
Whenever Armor Fossil would be damaged by your opponent's attack, flip a coin until you get tails. For each heads, reduce that damage by 10.",
83626,Armor Fossil,Armor Fossil,https://tcgplayer-cdn.tcgplayer.com/product/83626_200w.jpg,3,1406,https://cpt.tcgcsv.com/xsH,2025-02-05T21:06:04.3,1,119/127,Common,Trainer,50,,,,,,,,0.3,0.89,2.0,0.57,0.3,Reverse Holofoil,"Play Armor Fossil as if it were a Colorless Basic Pokémon. (Armor Fossil counts as a Trainer card as well, but if Armor Fossil is Knocked Out, this counts as a Knocked Out Pokémon.) Armor Fossil can't be affected by any Special Conditions and can't retreat. At any time during your turn before your attack, you may discard Armor Fossil from play. (This doesn't count as a Knocked Out Pokémon.)
<br>
<strong>Poké-BODY — Armor Stone</strong>
<br>
Whenever Armor Fossil would be damaged by your opponent's attack, flip a coin until you get tails. For each heads, reduce that damage by 10.",
83723,Banette,Banette,https://tcgplayer-cdn.tcgplayer.com/product/83723_200w.jpg,3,1406,https://cpt.tcgcsv.com/tvH,2023-11-07T21:34:22.563,1,19/127,Rare,Psychic,90,Stage 1,"[P] Darkness Switch
<br>
Discard an Energy card attached to Banette, and then switch all damage counters on Banette with those on the Defending Pokémon. (If an effect of this attack is prevented, this attack does nothing.)","[1P] Loneliness (30+)
<br>
You may show your hand to your opponent. If you do and if you don't have any Pokémon in your hand, this attack does 30 damage plus 30 more damage.",,D+20,C-20,1,5.72,10.0,29.99,5.72,29.99,Normal,"<strong>Poké-POWER — Temper Tantrum</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may discard as many cards as you like from your hand. If you do, put that many damage counters on Banette. This power can't be used if Banette is affected by a Special Condition.",
83723,Banette,Banette,https://tcgplayer-cdn.tcgplayer.com/product/83723_200w.jpg,3,1406,https://cpt.tcgcsv.com/tvH,2023-11-07T21:34:22.563,1,19/127,Rare,Psychic,90,Stage 1,"[P] Darkness Switch
<br>
Discard an Energy card attached to Banette, and then switch all damage counters on Banette with those on the Defending Pokémon. (If an effect of this attack is prevented, this attack does nothing.)","[1P] Loneliness (30+)
<br>
You may show your hand to your opponent. If you do and if you don't have any Pokémon in your hand, this attack does 30 damage plus 30 more damage.",,D+20,C-20,1,10.61,29.99,49.93,17.16,,Reverse Holofoil,"<strong>Poké-POWER — Temper Tantrum</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may discard as many cards as you like from your hand. If you do, put that many damage counters on Banette. This power can't be used if Banette is affected by a Special Condition.",
83736,Bastiodon,Bastiodon,https://tcgplayer-cdn.tcgplayer.com/product/83736_200w.jpg,3,1406,https://cpt.tcgcsv.com/LvH,2023-11-07T21:34:32.033,1,20/127,Rare,Metal,130,Stage 2,"[1MM] Iron Defense (30)
<br>
Flip a coin. If heads, prevent all effects of an attack, including damage, done to Bastiodon during your opponent's next turn.","[2MM] Iron Tackle (80)
<br>
Bastiodon does 30 damage to itself.",,R+30,P-20,4,0.5,1.22,5.0,1.32,,Normal,"<strong>Poké-BODY — Metal Trait</strong>
<br>
As long as Bastiodon has a Pokémon Tool attached to it, remove 1 damage counter from Bastiodon between turns.",
83736,Bastiodon,Bastiodon,https://tcgplayer-cdn.tcgplayer.com/product/83736_200w.jpg,3,1406,https://cpt.tcgcsv.com/LvH,2023-11-07T21:34:32.033,1,20/127,Rare,Metal,130,Stage 2,"[1MM] Iron Defense (30)
<br>
Flip a coin. If heads, prevent all effects of an attack, including damage, done to Bastiodon during your opponent's next turn.","[2MM] Iron Tackle (80)
<br>
Bastiodon does 30 damage to itself.",,R+30,P-20,4,1.37,2.2,4.49,2.39,,Reverse Holofoil,"<strong>Poké-BODY — Metal Trait</strong>
<br>
As long as Bastiodon has a Pokémon Tool attached to it, remove 1 damage counter from Bastiodon between turns.",
