productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRetreatCost,extCardText
83485,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83485_200w.jpg,3,1396,https://cpt.tcgcsv.com/KpH,2025-11-25T22:27:50.527,1,026/111,Uncommon,Colorless,40,Basic,"[1] Pilfer
<br>Shuffle Aipom and all cards attached to it into your deck. Flip a coin. If heads, shuffle a card from your discard pile into your deck.","[1] Tail Rap (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.",F,P-30,2.47,3.99,7.0,3.47,2.97,1st Edition,,
83485,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83485_200w.jpg,3,1396,https://cpt.tcgcsv.com/KpH,2025-11-25T22:27:50.527,1,026/111,Uncommon,Colorless,40,Basic,"[1] Pilfer
<br>Shuffle Aipom and all cards attached to it into your deck. Flip a coin. If heads, shuffle a card from your discard pile into your deck.","[1] Tail Rap (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.",F,P-30,0.75,1.75,96.95,1.85,2.23,Unlimited,,
83534,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83534_200w.jpg,3,1396,https://cpt.tcgcsv.com/JqH,2026-03-05T17:14:10.353,1,001/111,Holo Rare,Lightning,80,Stage 2,"[LLL] Gigaspark (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,F,,52.48,68.86,150.0,58.82,69.8,1st Edition Holofoil,2,
83534,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83534_200w.jpg,3,1396,https://cpt.tcgcsv.com/JqH,2026-03-05T17:14:10.353,1,001/111,Holo Rare,Lightning,80,Stage 2,"[LLL] Gigaspark (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,F,,15.0,21.76,4321.0,24.3,21.76,Unlimited Holofoil,2,
83573,Arcade Game (Goldenrod Game Corner),Arcade Game Goldenrod Game Corner,https://tcgplayer-cdn.tcgplayer.com/product/83573_200w.jpg,3,1396,https://cpt.tcgcsv.com/trH,2025-11-25T22:29:09.93,1,083/111,Rare,Trainer,,,,,,,2.24,6.99,11.87,5.85,,1st Edition,,"Shuffle your deck, then reveal the top 3 cards of it. If at least 2 of those cards share the same name, put all of the ones with that name into your hand and shuffle the rest into your deck. If none of them do, shuffle all 3 into your deck."
83573,Arcade Game (Goldenrod Game Corner),Arcade Game Goldenrod Game Corner,https://tcgplayer-cdn.tcgplayer.com/product/83573_200w.jpg,3,1396,https://cpt.tcgcsv.com/trH,2025-11-25T22:29:09.93,1,083/111,Rare,Trainer,,,,,,,0.75,1.57,2.62,1.97,5.08,Unlimited,,"Shuffle your deck, then reveal the top 3 cards of it. If at least 2 of those cards share the same name, put all of the ones with that name into your hand and shuffle the rest into your deck. If none of them do, shuffle all 3 into your deck."
83615,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83615_200w.jpg,3,1396,https://cpt.tcgcsv.com/ksH,2025-11-25T22:30:50.813,1,027/111,Uncommon,Grass,60,Stage 1,"[G] Spider Web
<br>Flip a coin. If heads, the Defending Pokémon can't retreat. <em>(Benching or evolving that Pokémon ends this effect.)</em>","[GGG] Poison Bite (20)
<br>If this attack damages the Defending Pokémon, the Defending Pokémon is now Poisoned and you remove a number of damage counters from Ariados equal to half that damage <em>(rounded up to the nearest 10)</em>. If Ariados has fewer damage counters than that, remove all of them.",R,,1.32,3.65,9.99,3.45,,1st Edition,1,
83615,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83615_200w.jpg,3,1396,https://cpt.tcgcsv.com/ksH,2025-11-25T22:30:50.813,1,027/111,Uncommon,Grass,60,Stage 1,"[G] Spider Web
<br>Flip a coin. If heads, the Defending Pokémon can't retreat. <em>(Benching or evolving that Pokémon ends this effect.)</em>","[GGG] Poison Bite (20)
<br>If this attack damages the Defending Pokémon, the Defending Pokémon is now Poisoned and you remove a number of damage counters from Ariados equal to half that damage <em>(rounded up to the nearest 10)</em>. If Ariados has fewer damage counters than that, remove all of them.",R,,0.29,0.72,2.33,0.91,,Unlimited,1,
83678,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83678_200w.jpg,3,1396,https://cpt.tcgcsv.com/BtH,2022-11-22T14:43:02.553,1,002/111,Holo Rare,Water,70,Stage 1,[2] Tackle (20),"[WWW] Bubble Shower (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",L,,43.0,74.36,89.98,61.51,43.8,1st Edition Holofoil,1,
83678,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83678_200w.jpg,3,1396,https://cpt.tcgcsv.com/BtH,2022-11-22T14:43:02.553,1,002/111,Holo Rare,Water,70,Stage 1,[2] Tackle (20),"[WWW] Bubble Shower (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",L,,14.99,19.43,29.99,20.27,,Unlimited Holofoil,1,
83743,Bayleef (28),Bayleef 28,https://tcgplayer-cdn.tcgplayer.com/product/83743_200w.jpg,3,1396,https://cpt.tcgcsv.com/TvH,2024-02-02T11:02:28.477,1,028/111,Uncommon,Grass,70,Stage 1,"[1G] Poisonpowder (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.","[1GG] Pollen Shield (30)
<br>During your opponent's next turn, Bayleef can't become Asleep, Confused, Paralyzed, or Poisoned. <em>(All other effects of attacks, Pokémon Powers, and Trainer cards still happen.)</em>",R,,3.23,6.12,99.99,8.51,12.49,1st Edition,,
83743,Bayleef (28),Bayleef 28,https://tcgplayer-cdn.tcgplayer.com/product/83743_200w.jpg,3,1396,https://cpt.tcgcsv.com/TvH,2024-02-02T11:02:28.477,1,028/111,Uncommon,Grass,70,Stage 1,"[1G] Poisonpowder (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.","[1GG] Pollen Shield (30)
<br>During your opponent's next turn, Bayleef can't become Asleep, Confused, Paralyzed, or Poisoned. <em>(All other effects of attacks, Pokémon Powers, and Trainer cards still happen.)</em>",R,,1.69,3.18,6.1,3.5,,Unlimited,,
83744,Bayleef (29),Bayleef 29,https://tcgplayer-cdn.tcgplayer.com/product/83744_200w.jpg,3,1396,https://cpt.tcgcsv.com/VvH,2025-11-25T22:34:18.103,1,029/111,Uncommon,Grass,80,Stage 1,"[G] Sweet Scent
<br>Flip a coin. If heads and if any of your Pokémon have any damage counters on them, then remove 2 damage counters from 1 of them (or 1 if it only has 1). If tails and if any of your opponent's Pokémon have any damage counters on them, choose 1 of them and remove 2 damage counters from it (or 1 if it only has 1).","[GGG] Double Razor Leaf (40x)
<br>Flip 2 coins. This attack does 40 damage times the number of heads.",R,,2.16,4.3,4321.0,4.28,,1st Edition,2,
83744,Bayleef (29),Bayleef 29,https://tcgplayer-cdn.tcgplayer.com/product/83744_200w.jpg,3,1396,https://cpt.tcgcsv.com/VvH,2025-11-25T22:34:18.103,1,029/111,Uncommon,Grass,80,Stage 1,"[G] Sweet Scent
<br>Flip a coin. If heads and if any of your Pokémon have any damage counters on them, then remove 2 damage counters from 1 of them (or 1 if it only has 1). If tails and if any of your opponent's Pokémon have any damage counters on them, choose 1 of them and remove 2 damage counters from it (or 1 if it only has 1).","[GGG] Double Razor Leaf (40x)
<br>Flip 2 coins. This attack does 40 damage times the number of heads.",R,,1.15,2.0,50.0,2.47,,Unlimited,2,
83795,Bellossom,Bellossom,https://tcgplayer-cdn.tcgplayer.com/product/83795_200w.jpg,3,1396,https://cpt.tcgcsv.com/WwH,2026-02-17T11:11:41.347,1,003/111,Holo Rare,Grass,70,Stage 2,"[G] Sweet Nectar
<br>Flip a coin. If heads, remove all damage counters from 1 of your Pokémon.","[1GG] Flower Dance (30x)
<br>Does 30 damage times the number of cards with Bellossom in their names that you have in play <em>(including this one)</em>.",R,,65.99,107.99,149.99,54.7,149.99,1st Edition Holofoil,2,
