productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance,extAttack4,extAttack3
91396,Beheeyem - 62/99 (Cosmos Holo),Beheeyem 62 99 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/91396_200w.jpg,3,2289,https://cpt.tcgcsv.com/XzL,2022-09-15T18:39:54.82,1,062/099,Promo,Psychic,80,Stage 1,"[P] Brain Control
<br>Your opponent reveals his or her hand. Choose a card from there and put it on the bottom of your opponent's deck.","[2P] Psybeam (40)
<br>The Defending Pokémon is now Confused.",Px2,1,0.52,0.85,7.2,1.0,,Holofoil,,,,
91400,Wigglytuff - 79/99 (Cosmos Holo),Wigglytuff 79 99 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/91400_200w.jpg,3,2289,https://cpt.tcgcsv.com/0BL,2022-09-26T18:12:22.503,1,079/099,Promo,Colorless,90,Stage 1,"[2] Round (20x)
<br>
Does 20 damage times the number of your Pokémon that have the Round attack.","[3] Hypnoblast (60)
<br>
Flip a coin. If heads, the Defending Pokémon is now Asleep.",Fx2,2,1.5,2.19,2.84,3.08,,Holofoil,,,,
133823,Dartrix - 10/149 (Cosmos Holo),Dartrix 10 149 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/133823_200w.jpg,3,2289,https://cpt.tcgcsv.com/tx52,2022-12-07T19:29:42.807,1,010/149,Promo,Grass,80,Stage 1,"[1] Sharp Blade Quill
<br>This attack does 20 damage to 1 of your opponent's Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>","[2G] Leaf Blade (50+)
<br>Flip a coin. If heads, this attack does 20 more damage.",Rx2,1,0.66,1.08,5.15,1.07,,Holofoil,,,,
141245,Chesnaught - 14/146 (Cosmos Holo),Chesnaught 14 146 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/141245_200w.jpg,3,2289,https://cpt.tcgcsv.com/Wv82,2022-09-15T18:57:39.81,1,014/146,Promo,Grass,160,Stage 2,"[2GG] Touchdown (90)
<br>Heal 20 damage from this Pokémon.",,Rx2,4,0.99,1.47,5.99,1.57,,Holofoil,"<strong>Ability — Spiky Shield</strong>
<br>If this Pokémon is your Active Pokémon and is damaged by an opponent's attack <em>(even if this Pokémon is Knocked Out)</em>, put 3 damage counters on the Attacking Pokémon.",,,
141246,Delphox - 26/146 (Cosmos Holo),Delphox 26 146 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/141246_200w.jpg,3,2289,https://cpt.tcgcsv.com/Xv82,2022-09-15T19:08:36.103,1,026/146,Promo,Fire,140,Stage 2,"[3] Blaze Ball (50+)
<br>
This attack does 20 more damage for each Fire Energy attached to this Pokémon.",,Wx2,2,0.79,1.2,2.99,1.29,,Holofoil,"<strong>Ability — Mystical Fire</strong>
<br>Once during your turn <em>(before your attack)</em>, you may draw cards until you have 6 cards in your hand.",,,
141247,Feraligatr - 17/119 (Cosmos Holo),Feraligatr 17 119 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/141247_200w.jpg,3,2289,https://cpt.tcgcsv.com/Zv82,2024-07-02T12:37:11.063,1,017/119,Promo,Water,150,Stage 2,"[2W] Hyper Whirlpool (60)
<br>Flip a coin until you get tails. For each heads, discard an Energy attached to your opponent's Active Pokémon.","[2WW] Second Strike (80+)
<br>If your opponent's Active Pokémon already has any damage counters on it, this attack does 80 more damage.",Gx2,3,3.0,4.07,15.0,4.42,,Holofoil,,,,
141248,Greninja - 41/146 (Cosmos Holo),Greninja 41 146 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/141248_200w.jpg,3,2289,https://cpt.tcgcsv.com/-v82,2022-09-15T20:11:32.253,1,041/146,Promo,Water,130,Stage 2,"[W] Mist Slash (50)
<br>This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pokémon.",,Gx2,1,1.82,6.6,9.99,6.68,,Holofoil,"<strongAbility — Water Shuriken</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may discard a Water Energy card from your hand. If you do, put 3 damage counters on 1 of your opponent's Pokémon.",,,
141251,Hawlucha - 63/111 (Cosmos Holo),Hawlucha 63 111 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/141251_200w.jpg,3,2289,https://cpt.tcgcsv.com/2w82,2022-09-26T15:09:16.117,1,063/111,Promo,Fighting,70,Basic,"[F] Flying Press (60)
<br>If your opponent's Active Pokémon isn't a Pokémon-EX, this attack does nothing.",,Lx2,0,0.48,0.99,5.99,1.13,,Holofoil,"<strong>Ability — Shining Spirit</strong>
<br>Damage from this Pokémon's attacks isn't affected by Weakness or Resistance.",F-20,,
141252,Haxorus - 69/101 (Cosmos Holo),Haxorus 69 101 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/141252_200w.jpg,3,2289,https://cpt.tcgcsv.com/3w82,2022-09-26T15:11:11.98,1,069/101,Promo,Dragon,140,Stage 2,"[M] Dragonaxe (40x)
<br>Does 40 times the amount of Metal Energy attached to this Pokémon.","[FM] Strike of the Champion
<br>If the Defending Pokémon is a Team Plasma Pokémon, it is Knocked Out. (If the Defending Pokémon is not a Team Plasma Pokémon, this attack does nothing.)",Ox2,2,0.86,1.6,3.99,2.17,,Holofoil,,,,
141253,Machamp - 46/111 (Cosmos Holo),Machamp 46 111 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/141253_200w.jpg,3,2289,https://cpt.tcgcsv.com/5w82,2022-09-26T15:38:11.753,1,046/111,Promo,Fighting,150,Stage 2,"[FFF] Machamp Crush (80)
<br>During your opponent's next turn, any damage done by attacks from the Defending Pokémon is reduced by 40<em> (before applying Weakness and Resistance)</em>.",,Px2,2,0.78,1.05,4.2,2.04,,Holofoil,"<strong>Ability -— Fighting Fury</strong>
<br>Each of your Fighting Pokémon's attacks do 20 more damage to your opponent's Active Pokémon <em>(before applying Weakness and Resistance).</em>",,,
141254,Meganium - 3/122 (Cosmos Holo),Meganium 3 122 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/141254_200w.jpg,3,2289,https://cpt.tcgcsv.com/6w82,2022-09-26T15:43:30.003,1,003/122,Promo,Grass,150,Stage 2,"[1GG] Green Force (50)
<br>Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.",,Rx2,3,2.0,3.11,6.38,4.83,,Holofoil,"<strong>Ability — Overgrow</strong>
<br>If this Pokémon's HP is 50 or less, its attacks do 70 more damage to your opponent's Active Pokémon <em>(before applying Weakness and Resistance)</em>.",,,
141255,Typhlosion - 20/162 (Cosmos Holo),Typhlosion 20 162 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/141255_200w.jpg,3,2289,https://cpt.tcgcsv.com/7w82,2022-09-26T17:56:17.85,1,020/162,Promo,Fire,150,Stage 2,"[R] Massive Eruption (80x)
<br>Discard the top 5 cards of your deck. This attack does 80 damage times the number of Energy cards you discarded.","[1RR] Flare Destroy (130)
<br>Discard an Energy card attached to this Pokémon and discard an Energy card attached to your opponent's Active Pokémon.",Wx2,3,2.02,4.85,7.91,6.88,,Holofoil,,,,
141256,Yveltal - 94/162 (Cosmos Holo),Yveltal 94 162 Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/141256_200w.jpg,3,2289,https://cpt.tcgcsv.com/8w82,2022-09-26T18:17:07.99,1,094/162,Promo,Darkness,130,Basic,"[2D] Pitch-Black Spear (60)
<br>This attack does 60 damage to 1 of your opponent's Benched Pokémon-EX. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,Lx2,2,0.55,1.48,2.27,1.89,,Holofoil,"<strong>Ability — Fright Night</strong>
<br>As long as this Pokémon is your Active Pokémon, each Pokémon Tool card in play has no effect.",F-20,,
