productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extAttack3,extUPC
175509,Lost Thunder Booster Box,Lost Thunder Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/175509_200w.jpg,3,2328,https://cpt.tcgcsv.com/cdq2,2018-10-30T14:21:38.883,1,"Travel to the forested hills, where the fragrance of incense from ancient shrines and the sparks of high-voltage Pokemon fill the air!
<br>
The Sun & Moon—Lost Thunder expansion fuses the new with the traditional, featuring Celebi Prism Star and Ditto Prism Star, plus Blacephalon GX, Lugia GX, Tyranitar GX, and the newest Mythical Pokemon, Zeraora GX! Call down the big thunder and charge up your deck with the high-powered Pokemon in the Sun & Moon- Lost Thunder expansion!
<br><br>Includes 36 Sun & Moon—Lost Thunder booster packs, each containing 10 cards and 1 basic Energy",1450.0,1872.5,4897.95,1667.49,,Normal,,,,,,,,,,,,
175510,Lost Thunder Booster Pack,Lost Thunder Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/175510_200w.jpg,3,2328,https://cpt.tcgcsv.com/ddq2,2018-09-21T19:19:58.403,1,"Travel to the forested hills, where the fragrance of incense from ancient shrines and the sparks of high-voltage Pokemon fill the air!
<br>
The Sun & Moon—Lost Thunder expansion fuses the new with the traditional, featuring Celebi Prism Star and Ditto Prism Star, plus Blacephalon GX, Lugia GX, Tyranitar GX, and the newest Mythical Pokemon, Zeraora GX! Call down the big thunder and charge up your deck with the high-powered Pokemon in the Sun & Moon- Lost Thunder expansion!
<br><br>Each booster pack contains 10 random cards.",39.76,43.98,65.0,41.07,,Normal,,,,,,,,,,,,
175511,Lost Thunder Elite Trainer Box,Lost Thunder Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/175511_200w.jpg,3,2328,https://cpt.tcgcsv.com/fdq2,2018-09-07T11:51:40.917,1,"Travel to the forested hills, where the fragrance of incense from ancient shrines and the sparks of high-voltage Pokemon fill the air!
<br>
The Sun & Moon—Lost Thunder expansion fuses the new with the traditional, featuring Celebi Prism Star and Ditto Prism Star, plus Blacephalon GX, Lugia GX, Tyranitar GX, and the newest Mythical Pokemon, Zeraora GX! Call down the big thunder and charge up your deck with the high-powered Pokemon in the Sun & Moon- Lost Thunder expansion!
<br><br>Each elite trainer box contains:
<br>• 8 Lost Thunder booster packs <em>(each containing 10 random cards)</em>
<br>• Exclusive 65 card sleeve pack featuring Zeraora
<br>• A pack of 45 Basic Energy cards to get you started
<br>• A player's guide
<br>• 6 sided-dice to track damage
<br>• 1 flip coin
<br>• 3 acrylic markers (2 condition markers and 1 GX marker)
<br>• Box doubles as a collector's box to hold everything <em>(including 4 dividers to help organize)</em>
<br>• 1 code card for the Pokémon Trading Card Game Online",725.0,795.47,899.99,655.55,,Normal,,,,,,,,,,,,
177527,"Lost Thunder Theme Deck - ""Blazing Volcano"" [Entei]",Lost Thunder Theme Deck Blazing Volcano Entei,https://tcgplayer-cdn.tcgplayer.com/product/177527_200w.jpg,3,2328,https://cpt.tcgcsv.com/z0r2,2018-12-06T19:16:25.953,1,"From Small Sparks to a Raging Volcano!
<br><br>
Release the red-hot power of the Legendary Pokemon Entei! This slow-building deck combines the power of Fire and Grass types to fan a small flame into a raging volcano. Burn your way to victory with the Blazing Volcano theme deck!
<br><br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",30.0,30.02,37.01,30.02,,Normal,,,,,,,,,,,,
177528,"Lost Thunder Theme Deck - ""Storm Caller"" [Raikou]",Lost Thunder Theme Deck Storm Caller Raikou,https://tcgplayer-cdn.tcgplayer.com/product/177528_200w.jpg,3,2328,https://cpt.tcgcsv.com/B0r2,2018-12-06T19:16:57.867,1,"Winds Howl and Thunder Crashes!
<br><br>
Ride the wind with the surging power of the Legendary Pokemon Raikou! This high-voltage deck has the support to charge up potent hits—and runs some risks for the big Knock Out. Master the lightning with the Storm Caller theme deck!
<br><br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",28.99,29.49,29.99,26.99,,Normal,,,,,,,,,,,,
177864,Island Guardians GX Premium Collection,Island Guardians GX Premium Collection,https://tcgplayer-cdn.tcgplayer.com/product/177864_200w.jpg,3,2328,https://cpt.tcgcsv.com/j9r2,2018-10-10T12:31:37.247,1,"The Island Guardians watch over the Alola region and stand ready for battle in the Pokemon TCG: Island Guardians GX Premium Collection! Two of those powerful Pokémon are ready to join your team as playable Pokémon GX, with amazing GX attacks to turn the tide in your favor. What's more, this collection includes a beautiful playmat for your next tournament game, as well as a huge oversize card featuring Tapu Lele GX, suitable for adding a little tropical sunshine to any Trainer's home or office!
<br><br>
<strong>Contents:</strong>:
<br>• 1 foil promo card featuring Tapu Lele GX
<br>• 1 foil promo card featuring Tapu Fini GX
<br>• A colorful playmat featuring all four Island Guardians
<br>• 8 Pokémon TCG booster packs
<br>• A bright metallic Tapu Lele coin
<br>• A foil oversize card featuring Tapu Lele GX
<br>• A code card for the Pokémon Trading Card Game Online",549.99,550.0,579.97,,,Normal,,,,,,,,,,,,
177904,Lost Thunder 3 Pack Blister [Altaria],Lost Thunder 3 Pack Blister Altaria,https://tcgplayer-cdn.tcgplayer.com/product/177904_200w.jpg,3,2328,https://cpt.tcgcsv.com/6br2,2018-10-15T13:42:16.47,1,"Each blister contains 3 Sun & Moon—Lost Thunder booster packs, a coin, and a promotional card of Altaria.",210.0,210.0,210.0,,,Normal,,,,,,,,,,,,
177905,Lost Thunder 3 Pack Blister [Alolan Exeggutor],Lost Thunder 3 Pack Blister Alolan Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/177905_200w.jpg,3,2328,https://cpt.tcgcsv.com/7br2,2018-10-15T13:42:19.893,1,"Each blister contains 3 Sun & Moon—Lost Thunder booster packs, a coin, and a promotional card of Exeggutor.",,,,,,,,,,,,,,,,,,
177906,Lost Thunder Single Pack Blister [Salandit],Lost Thunder Single Pack Blister Salandit,https://tcgplayer-cdn.tcgplayer.com/product/177906_200w.jpg,3,2328,https://cpt.tcgcsv.com/8br2,2018-10-15T13:42:08.14,1,"Each blister contains 1 Sun & Moon—Lost Thunder booster packs, a coin, and a promotional card of Exeggutor.",125.0,125.0,125.0,,,Normal,,,,,,,,,,,,
177907,Lost Thunder Single Pack Blister [Rowlett],Lost Thunder Single Pack Blister Rowlett,https://tcgplayer-cdn.tcgplayer.com/product/177907_200w.jpg,3,2328,https://cpt.tcgcsv.com/9br2,2018-10-15T13:42:11.543,1,"Each blister contains 1 Sun & Moon—Lost Thunder booster packs, a coin, and a promotional card of Rowlett.",81.99,99.99,120.0,56.67,,Normal,,,,,,,,,,,,
178798,Tangela,Tangela,https://tcgplayer-cdn.tcgplayer.com/product/178798_200w.jpg,3,2328,https://cpt.tcgcsv.com/-wr2,2025-10-31T19:16:35.987,1,,0.08,0.26,1.49,0.25,,Normal,1/214,Common,Grass,80,Basic,[2] Gentle Slap (20),"[2G] Bind (40)
<br>Flip a coin. If heads, your opponent’s Active Pokemon is now Paralyzed.",Rx2,None,2,,
178798,Tangela,Tangela,https://tcgplayer-cdn.tcgplayer.com/product/178798_200w.jpg,3,2328,https://cpt.tcgcsv.com/-wr2,2025-10-31T19:16:35.987,1,,0.3,0.59,1.49,0.49,,Reverse Holofoil,1/214,Common,Grass,80,Basic,[2] Gentle Slap (20),"[2G] Bind (40)
<br>Flip a coin. If heads, your opponent’s Active Pokemon is now Paralyzed.",Rx2,None,2,,
178799,Tangrowth,Tangrowth,https://tcgplayer-cdn.tcgplayer.com/product/178799_200w.jpg,3,2328,https://cpt.tcgcsv.com/_wr2,2022-12-07T21:07:24.13,1,,0.1,0.33,1.49,0.33,,Normal,2/214,Rare,Grass,140,Stage 1,"[2G] Hefty Whip (30+)
<br>If this Pokemon was healed during this turn, this attack does 130 more damage.",[2GG] Whip Smash (110),Rx2,None,3,,
178799,Tangrowth,Tangrowth,https://tcgplayer-cdn.tcgplayer.com/product/178799_200w.jpg,3,2328,https://cpt.tcgcsv.com/_wr2,2022-12-07T21:07:24.13,1,,0.25,0.51,5.25,0.55,,Reverse Holofoil,2/214,Rare,Grass,140,Stage 1,"[2G] Hefty Whip (30+)
<br>If this Pokemon was healed during this turn, this attack does 130 more damage.",[2GG] Whip Smash (110),Rx2,None,3,,
178800,Scyther,Scyther,https://tcgplayer-cdn.tcgplayer.com/product/178800_200w.jpg,3,2328,https://cpt.tcgcsv.com/0xr2,2025-02-07T20:00:21.11,1,,0.35,0.5,1.11,0.55,,Reverse Holofoil,3/214,Common,Grass,80,Basic,"[2] Fury Cutter (10+)
<br>Flip 3 coins. If 1 is heads, this attack does 20 more damage. If 2 are heads, this attack does 50 more damage. If all 3 are heads, this attack does 70 more damage.",,Rx2,None,1,,
178800,Scyther,Scyther,https://tcgplayer-cdn.tcgplayer.com/product/178800_200w.jpg,3,2328,https://cpt.tcgcsv.com/0xr2,2025-02-07T20:00:21.11,1,,0.09,0.28,2.31,0.31,,Normal,3/214,Common,Grass,80,Basic,"[2] Fury Cutter (10+)
<br>Flip 3 coins. If 1 is heads, this attack does 20 more damage. If 2 are heads, this attack does 50 more damage. If all 3 are heads, this attack does 70 more damage.",,Rx2,None,1,,
